sign,unicode
a5,𒀝
ag,𒀝
aŋ,𒀝
ak,𒀝
aka,𒀝
akiₓ,𒀝
aq,𒀝
aqa,𒀝
ke₃,𒀝
ke3,𒀝
ki₃,𒀝
ki3,𒀝
kid₃,𒀝
kid3,𒀝
me₆,𒀞
me6,𒀞
na₃,𒀝
na3,𒀝
ra₆,𒀝
ra6,𒀝
ša₅,𒀝
sza5,𒀝
me₃,𒀞
me3,𒀞
meₓ,𒍛
me₁₁,𒀞
me11,𒀞
al,𒀠
ala₃,𒀠
ala3,𒀠
il₁₀,𒀠
il10,𒀠
mah₂,𒀠
mah2,𒀠
maha₂,𒀠
maha2,𒀠
ilₓ,𒃸
bal₃,𒀡
bal3,𒀡
lidim,𒀢
gišbar,𒀣
giszbar,𒀣
gišmaš,𒀣
giszmasz,𒀣
ŋešmaš,𒀣
ŋeszmasz,𒀣
hibira,𒀤
dubal,𒀥
bal₄,𒀦
bal4,𒀦
dubal₂,𒀦
dubal2,𒀦
il₆,𒀧
il6,𒀧
hibis₂,𒀨
hibis2,𒀨
hibiz₂,𒀨
hibiz2,𒀨
šušbar,𒀨
szuszbar,𒀨
šušmaš,𒀨
szuszmasz,𒀨
al₂,𒀩
al2,𒀩
alag,𒀩
alaŋ,𒀩
alala,𒀩
alam,𒀩
alan,𒀩
belili,𒀩
bišeba₂,𒀩
biszeba2,𒀩
bišebi₂,𒀩
biszebi2,𒀩
kaššeba₂,𒀩
kaszszeba2,𒀩
kaššebi₂,𒀩
kaszszebi2,𒀩
amar,𒀫
mar₂,𒀫
mar2,𒀫
mara₂,𒀫
mara2,𒀫
marad,𒀫
surₓ,𒍚
ṣar₂,𒀫
"s,ar2",𒀫
ṣur,𒀫
"s,ur",𒀫
ṣuru,𒀫
"s,uru",𒀫
zur,𒀫
marad₂,𒀫𒁕
marad2,𒀫𒁕
marduk,𒀫𒌓
disgur,𒀬
siskur,𒀬
siškur,𒀬
siszkur,𒀬
sizkur,𒀬
siskur₂,𒀬𒀬
siskur2,𒀬𒀬
siškur₂,𒀬𒀬
siszkur2,𒀬𒀬
sizkur₂,𒀬𒀬
sizkur2,𒀬𒀬
a₁₁,𒀭
a11,𒀭
am₆,𒀭
am6,𒀭
an,𒀭
ana₂,𒀭
ana2,𒀭
anu,𒀭
d,𒀭
dalhamunₓ,𒅑
der,𒀭
dibur,𒀭
digir,𒀭
diŋir,𒀭
dimer,𒀭
/dimer/,𒀭
dimir,𒀭
dimmer,𒀭
diner,𒀭
dingir,𒀭
dingira,𒀭
dinir,𒀭
dir₃,𒀭
dir3,𒀭
el₃,𒀭
el3,𒀭
eššu₂,𒀭
eszszu2,𒀭
il₃,𒀭
il3,𒀭
ila,𒀭
ili,𒀭
ilu,𒀭
le₄,𒀭
le4,𒀭
sa₈,𒀭
sa8,𒀭
šubul,𒀭
szubul,𒀭
ṣa₃,𒀭
"s,a3",𒀭
